order_id,customer_id,product,amount,order_date,region
bdd640fb-0667-4ad1-9c80-317fa3b1799d,23b8c1e9-3924-46de-beb1-3b9046685257,Smartphone,101,2024-10-13,North America
e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,6c031199-972a-4469-9641-9f828b9d2434,Laptop,507,2024-01-13,Asia
3b8faa18-37f8-488b-97fc-695a07a0ca6e,8fadc1a6-06cb-4fb3-9a1d-e644815ef6d1,Smartphone,1435,2024-03-18,Europe
8b8148f6-b38a-488c-a65e-d389b74d0fb1,96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,Headphones,115,2024-04-18,Europe
c241330b-01a9-471f-9e8a-774bcf36d58b,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Smartphone,497,2024-05-12,Asia
f50bea63-371e-4d7b-a7cd-813047229389,17be3111-1a2a-43ed-962b-0f79c37459ee,Smartphone,1199,2024-05-27,Asia
580d7b71-d8f5-4413-9be6-128e18c26797,0b1f9163-ce9f-457f-83b7-a3a69a8dca03,Headphones,501,2024-10-10,South America
f91e1d4c-1ff4-4b78-8946-3e85759cde66,8d5288f1-142c-4fe8-a0e7-a113ec1b8ca1,Tablet,1707,2024-04-23,Europe
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Laptop,1479,2024-09-30,South America
3a578a8e-a948-4d99-8bbb-259911ce5dd2,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,Tablet,619,2024-11-28,Asia
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,d58842de-a2bc-472f-b412-b29347294739,Laptop,1613,2024-05-21,North America
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,efc89849-b3aa-4efe-8458-a885ab9099a4,Smartphone,239,2024-09-22,South America
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Smartphone,785,2024-03-04,North America
fd5166e6-451b-4cf3-a123-fdf77656af72,8e944239-b02b-41c4-a3d7-0628ece66fa2,Tablet,1702,2024-03-26,Europe
c4b032cc-d7c5-44a5-9304-317faf42e12f,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,Headphones,1148,2024-01-13,Europe
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,f16287e4-e9c3-49e0-b602-f8ac10f1bc81,Headphones,211,2024-08-08,North America
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,e27a984d-6548-41d0-bfcd-9eb1a7cad415,Tablet,1232,2024-09-06,Asia
23bed01d-43cf-4fde-a493-3b83757750a9,89fa6a68-8fb5-427b-beb7-99193f22faf8,Smartphone,143,2024-04-12,Asia
e5d7b875-6dad-46c7-95a7-6d79bf3c4c06,382567b8-5cab-4c97-a63f-1c97956269f0,Tablet,213,2024-02-23,Asia
c17af08a-1745-46d8-be57-0ddf827050a8,27209bdf-1c11-4735-9c71-3d960c0fd195,Smartphone,828,2024-08-31,North America
6c12ace8-ae34-4454-8ac5-b68c28f49481,61b1cd22-6280-4c45-9043-5a1098ae4334,Headphones,1351,2024-08-19,North America
405cacec-8774-49a9-b7d2-1e02ff01cf99,f143262f-dc5c-4eed-8da0-365bf89897b9,Laptop,808,2024-01-05,North America
ae849217-1d53-434b-b881-39b9ae270da7,444ea7c8-c039-4710-8976-e334e2817efd,Laptop,1422,2024-10-25,North America
4b22d308-1c8e-4ee9-9715-bd6fa4161293,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Smartphone,1297,2024-10-07,Asia
f8cda88b-436d-46e2-b83c-fe0be037e5ed,81f76d1c-2dbc-4134-830f-f46e8026695f,Laptop,384,2024-12-20,South America
4c66e0a8-a013-4c6e-9eda-4e161b3dbd5c,9be578c7-81f6-41d4-a392-31a7d777a477,Headphones,602,2024-03-18,Asia
295b4715-c333-4861-9fb8-d16c2720797d,ec24a3c5-c754-408f-b418-8f3f8a14be62,Tablet,1776,2024-07-24,Europe
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,edd96831-1ca3-4cfb-84fc-6d827d154385,Laptop,1733,2024-05-20,Europe
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Tablet,871,2024-12-06,North America
15ed6269-1429-4c07-b26b-4776913e4de2,11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,Smartphone,482,2024-10-22,North America
20de435d-2031-4750-840d-b9b4885f6e66,8cbfedb0-f264-4ccc-b9ac-1b1ea8e56e0c,Laptop,1392,2024-03-05,South America
9b49bd26-df57-459a-8715-a10343dac043,edcd465e-3638-4821-b6e0-7cc06c52c49f,Headphones,1861,2024-07-28,South America
337ea2df-b09b-4a5c-badc-c32ac1590f53,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,Laptop,592,2024-09-17,Asia
e64d1bcb-7027-43a1-9f98-7c71a65e688e,3f76be1d-1efa-4197-b394-988f847fd9b4,Laptop,1575,2024-03-28,North America
969b6662-0562-4059-968c-c69b1064005c,38602ab6-96a4-42f2-bae8-cc938dcdcd03,Headphones,1888,2024-01-03,South America
0f1259e0-a18f-46b6-b535-106e122c9a56,080aadfb-e7c9-4b26-9141-25c63a9bedd4,Tablet,499,2024-11-29,Asia
3ceddf2d-839f-4c50-9223-b5135496f63c,36d8393a-7c44-4fe7-ab42-20a7474a493b,Headphones,236,2024-07-28,Europe
e1e3db63-ef7d-4c76-b92d-a22b21df306f,3e351128-7900-47f9-9382-9b43922fe15a,Smartphone,363,2024-10-31,Asia
30beb45f-6835-44f2-8eb8-1f9d7914c120,6e595ed3-a8b3-47fa-98d0-752b1825bc54,Headphones,1271,2024-05-17,Europe
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Headphones,831,2024-09-07,South America
ba6c34ab-6712-403a-8f84-4fef1931e9ee,1bf90e27-dc96-425e-8cf3-a17156dc8907,Tablet,1183,2024-04-06,Europe
72d8567d-894a-45e4-b0b1-87ef310c0c00,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,Smartphone,1446,2024-06-28,North America
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,db20a56e-dc81-4fe7-8eda-8bbb71710434,Tablet,278,2024-08-01,North America
ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5,f8102383-03c7-4ba8-9605-e7708a63f881,Headphones,373,2024-02-06,South America
3c835dc0-d944-4fa5-80e9-ab30ed2662e9,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,Smartphone,1528,2024-03-24,North America
0f02bad0-e706-4ef4-a6aa-9385dd59ba71,fc3d3348-008d-4127-a104-61e32a25a888,Laptop,1089,2024-05-31,Europe
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,b253d218-6c4a-47ea-8906-17f2747b6dba,Tablet,1773,2024-10-10,Asia
a97065e1-8e46-4534-888a-618efed4057d,309d258c-27a0-43d7-bc96-7f79b7e99aca,Laptop,815,2024-04-25,Asia
944528c0-0ef8-42d6-b7fd-564637bb3eec,bf7b539b-0f9a-4a4b-8acd-4e10bc594585,Smartphone,1276,2024-05-01,North America
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Headphones,89,2024-03-02,Europe
14822f53-8201-4c62-b5f5-9b220e8fa8e0,98543881-118a-4d29-af92-3996d9f195d0,Tablet,1849,2024-01-27,North America
675dd5af-3c36-4296-9ca0-2eecacdabacc,91d63f78-e3e9-4e99-b10c-718b1eb0e38a,Laptop,168,2024-04-05,Asia
9e8fc965-0a2c-427e-9832-685694340a03,956b8c0c-a849-4b92-ab52-52e314fcdd54,Smartphone,225,2024-08-07,South America
42c18a62-ef48-48d5-90fd-9d3f85d51695,506e5a9a-b758-488d-ab73-295b344a54b8,Smartphone,1607,2024-04-02,Asia
abf3e3fc-2181-4d25-a552-38a643ff5011,50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Laptop,1401,2024-10-18,South America
75523327-0262-4f73-9292-2f83ef8c485b,ff002d4d-9020-49e4-bf9a-b5c29f044aed,Laptop,592,2024-02-08,South America
8181a8cc-3691-47eb-89a2-688b12c136e0,5958a499-eeea-463e-a1e8-ac6843e42caf,Laptop,1952,2024-12-08,Asia
5e9953d2-3e89-4c64-a117-dac3119c4ea3,d5704f32-702c-4d20-a862-18b848f4ef12,Tablet,867,2024-07-29,North America
fbddcf7c-9c96-49ec-8d71-c366b41b3143,8768a84f-a76a-4de6-8e9e-1a11fcbb4e59,Headphones,1892,2024-01-04,South America
4ca415ea-8dfa-4a56-912d-bc9aaaf91531,f05db76e-1a84-451a-a9d3-d7c7ee87905e,Smartphone,557,2024-12-07,Asia
e3c43657-1d8c-4bac-83b4-09ef2260e70f,27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Smartphone,742,2024-04-15,Europe
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,a25d6b29-afff-4fd2-b41e-f40b57c700aa,Laptop,1255,2024-11-27,Asia
40497b71-7d10-4c60-8162-7cf1439472e6,0d01280f-d89a-40c0-a87d-1c78e7c421c7,Smartphone,195,2024-02-05,Europe
46d483f3-d450-481c-ac6f-7633a2607723,c56811cd-5563-4616-80e8-5ece0b49452d,Laptop,188,2024-02-20,Europe
295d6fbf-430f-401d-bad4-09e2a319dcb4,b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Tablet,195,2024-06-15,Asia
13432e61-1ca3-4448-8279-b6a68f9797b0,e767dcea-b0e6-4969-a213-42b0f1eedba3,Tablet,1420,2024-02-27,South America
5e84f058-d5a8-44eb-8939-23de8babce3b,6e068097-25e9-4977-8d72-48e2951f58d0,Laptop,1154,2024-02-19,Asia
e623a689-5d59-4d2a-8eea-04e70ab54bde,dc570131-f8e1-4aa7-8bce-abdeeededb07,Headphones,547,2024-01-16,South America
ae9bec36-35c7-436c-9b99-62c6e61fecc0,5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Headphones,439,2024-10-29,Europe
6808593f-dfed-4c43-a256-a6dc8f5486b7,2790cebd-bfdd-43d9-9ee3-ac2af94d6204,Smartphone,1399,2024-04-01,South America
ccc56569-f9e8-4369-a999-b735dd56cc94,698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Tablet,917,2024-01-10,South America
550a1b46-ecab-4301-bc8f-7d292dea9493,cd5f4822-6966-48aa-ae49-f329c84a7b28,Headphones,1819,2024-09-17,Europe
3f87e362-cf8d-446a-bc2c-bb0ddd334cc7,b386f7a4-c991-403f-a8c1-3091444d610b,Smartphone,174,2024-02-11,South America
dbccc477-09e9-4b0a-9f46-529061ee411a,d10bd1d0-3317-4470-b8f1-6a81787f2425,Tablet,1689,2024-06-27,Europe
cb9bc326-d20e-4c17-8e20-fd1a598336e3,060edf5b-3911-4497-ba43-b2badf0f06cb,Laptop,442,2024-09-13,Asia
475287aa-5408-49ac-a601-ddd03170f437,c5f8bc16-f786-4b50-91c5-8ef0dd463c09,Headphones,337,2024-04-18,South America
6651529e-8268-490b-a438-25b559e4b671,89456f27-d7fa-4d8d-bb2c-a025adf4e62d,Laptop,620,2024-05-08,South America
e08596db-1d87-4966-8710-d430f071d879,94a1875d-2db6-4edb-82de-ffccf86c2ca2,Laptop,1840,2024-04-13,Europe
